ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	103	-0.467793826307751	-3.821261084083	1e-10	3.6e-09	1.36842105263158e-09	360	tags=53%, list=20%, signal=45%	ENSG00000172638/ENSG00000106483/ENSG00000011465/ENSG00000078098/ENSG00000087245/ENSG00000196924/ENSG00000198959/ENSG00000166147/ENSG00000084636/ENSG00000135862/ENSG00000142227/ENSG00000100097/ENSG00000140416/ENSG00000149257/ENSG00000122641/ENSG00000149591/ENSG00000176692/ENSG00000060718/ENSG00000107796/ENSG00000106333/ENSG00000133110/ENSG00000143369/ENSG00000116132/ENSG00000146674/ENSG00000161638/ENSG00000065534/ENSG00000157227/ENSG00000134871/ENSG00000204262/ENSG00000101825/ENSG00000142173/ENSG00000019549/ENSG00000077942/ENSG00000139278/ENSG00000187498/ENSG00000142871/ENSG00000168542/ENSG00000138829/ENSG00000111341/ENSG00000134013/ENSG00000102265/ENSG00000104332/ENSG00000049540/ENSG00000106366/ENSG00000198467/ENSG00000101335/ENSG00000182492/ENSG00000164692/ENSG00000130635/ENSG00000108821/ENSG00000120708/ENSG00000111799/ENSG00000115414/ENSG00000196569/ENSG00000163359
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	40	-0.47306231576522	-2.86320093548946	1.99805125333799e-06	3.59649225600837e-05	1.36708769965231e-05	618	tags=72%, list=34%, signal=49%	ENSG00000113140/ENSG00000197879/ENSG00000109846/ENSG00000101470/ENSG00000134363/ENSG00000183963/ENSG00000175084/ENSG00000109610/ENSG00000180209/ENSG00000130595/ENSG00000184489/ENSG00000100345/ENSG00000149591/ENSG00000133392/ENSG00000196923/ENSG00000146674/ENSG00000148180/ENSG00000134817/ENSG00000065534/ENSG00000134871/ENSG00000142173/ENSG00000102554/ENSG00000168542/ENSG00000134107/ENSG00000204291/ENSG00000198467/ENSG00000108821/ENSG00000196569/ENSG00000163359
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	29	-0.509194580235586	-2.74113468542592	3.71995211828223e-06	4.46394254193868e-05	1.69682026447962e-05	432	tags=66%, list=24%, signal=51%	ENSG00000106546/ENSG00000125347/ENSG00000123610/ENSG00000078081/ENSG00000163251/ENSG00000142227/ENSG00000147257/ENSG00000122641/ENSG00000115594/ENSG00000160013/ENSG00000161638/ENSG00000134817/ENSG00000157227/ENSG00000090339/ENSG00000145623/ENSG00000102265/ENSG00000106366/ENSG00000148926/ENSG00000185885
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	42	-0.394664743532171	-2.43126176978157	9.56243709758616e-05	0.000860619338782755	0.000327136005970053	444	tags=55%, list=24%, signal=42%	ENSG00000072682/ENSG00000124145/ENSG00000076716/ENSG00000011465/ENSG00000076554/ENSG00000116285/ENSG00000198959/ENSG00000059804/ENSG00000177469/ENSG00000147257/ENSG00000100345/ENSG00000147872/ENSG00000146674/ENSG00000142871/ENSG00000105974/ENSG00000106366/ENSG00000134107/ENSG00000101955/ENSG00000134954/ENSG00000148926/ENSG00000182492/ENSG00000130635/ENSG00000120708
HALLMARK_COAGULATION	HALLMARK_COAGULATION	30	-0.43132650282258	-2.32768526349666	0.000178174104809189	0.00128285355462616	0.000487634392109359	735	tags=77%, list=40%, signal=47%	ENSG00000168487/ENSG00000182326/ENSG00000168306/ENSG00000113140/ENSG00000159403/ENSG00000122861/ENSG00000164220/ENSG00000103811/ENSG00000175899/ENSG00000087245/ENSG00000166147/ENSG00000005893/ENSG00000080166/ENSG00000197635/ENSG00000149131/ENSG00000148180/ENSG00000143768/ENSG00000157227/ENSG00000104368/ENSG00000099953/ENSG00000102265/ENSG00000106366/ENSG00000115414
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	44	-0.357894892004945	-2.24388640422006	0.000784471316995949	0.00403442391597917	0.0015335529505184	849	tags=77%, list=46%, signal=42%	ENSG00000149503/ENSG00000117724/ENSG00000126787/ENSG00000017797/ENSG00000134250/ENSG00000135476/ENSG00000157456/ENSG00000170312/ENSG00000129116/ENSG00000118762/ENSG00000136068/ENSG00000198901/ENSG00000142945/ENSG00000198087/ENSG00000111859/ENSG00000114346/ENSG00000169679/ENSG00000138778/ENSG00000171992/ENSG00000166851/ENSG00000087586/ENSG00000196924/ENSG00000158195/ENSG00000198586/ENSG00000100345/ENSG00000140451/ENSG00000173848/ENSG00000079819/ENSG00000137807/ENSG00000131747/ENSG00000148180/ENSG00000011426/ENSG00000137962/ENSG00000088325
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	39	-0.374503261792074	-2.24274245280115	0.000717325669787374	0.00403442391597917	0.0015335529505184	865	tags=79%, list=47%, signal=43%	ENSG00000161011/ENSG00000124225/ENSG00000176170/ENSG00000157557/ENSG00000041982/ENSG00000126561/ENSG00000171223/ENSG00000099860/ENSG00000136826/ENSG00000169242/ENSG00000011422/ENSG00000184557/ENSG00000122861/ENSG00000075426/ENSG00000114315/ENSG00000131459/ENSG00000124145/ENSG00000125347/ENSG00000123610/ENSG00000086062/ENSG00000059804/ENSG00000171621/ENSG00000110092/ENSG00000122641/ENSG00000178860/ENSG00000142871/ENSG00000090339/ENSG00000003402/ENSG00000221869/ENSG00000106366/ENSG00000134107
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	34	-0.378910388946208	-2.15469187611554	0.00114426910452597	0.00466786456880609	0.00177433448521869	865	tags=79%, list=47%, signal=43%	ENSG00000161011/ENSG00000139329/ENSG00000101224/ENSG00000019991/ENSG00000099860/ENSG00000069702/ENSG00000167779/ENSG00000111859/ENSG00000137841/ENSG00000102580/ENSG00000160789/ENSG00000197081/ENSG00000113721/ENSG00000125347/ENSG00000011465/ENSG00000087245/ENSG00000064012/ENSG00000131981/ENSG00000110092/ENSG00000131747/ENSG00000148180/ENSG00000104368/ENSG00000105974/ENSG00000003402/ENSG00000102265/ENSG00000182492/ENSG00000142089
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	30	-0.38613435523005	-2.08380250811641	0.00116696614220152	0.00466786456880609	0.00177433448521869	347	tags=63%, list=19%, signal=52%	ENSG00000115461/ENSG00000049323/ENSG00000113721/ENSG00000163513/ENSG00000115641/ENSG00000157110/ENSG00000159216/ENSG00000135862/ENSG00000078269/ENSG00000060718/ENSG00000204262/ENSG00000019549/ENSG00000142871/ENSG00000168542/ENSG00000105974/ENSG00000106366/ENSG00000134107/ENSG00000164692/ENSG00000108821
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	35	-0.369434225941391	-2.13093416199643	0.0013909602056391	0.00500745674030076	0.0019034192287693	379	tags=49%, list=21%, signal=39%	ENSG00000144668/ENSG00000110492/ENSG00000072110/ENSG00000087245/ENSG00000126458/ENSG00000166147/ENSG00000086062/ENSG00000084636/ENSG00000163017/ENSG00000100345/ENSG00000177707/ENSG00000079819/ENSG00000147065/ENSG00000112280/ENSG00000090339/ENSG00000101335/ENSG00000120708
