Gene ID	Gene Name	SRR1027602	SRR1027592	SRR1027598	SRR1027591	SRR1027600	SRR1027596	SRR1027601	SRR1027599	SRR1027605	SRR1027604	SRR1027595	SRR1027594	SRR1027593	SRR1027597	SRR1027603	SRR1027606
ENSG00000000003	TSPAN6	1141	1067	1119	1111	800	1209	1115	822	1104	660	1076	754	763	1116	659	1112
ENSG00000000005	TNMD	7	3	105	2	6	8	2	5	1	1	20	3	2	106	2	2
ENSG00000000419	DPM1	226	269	273	264	191	241	231	220	388	218	232	226	227	241	257	400
ENSG00000000457	SCYL3	160	244	127	254	160	184	184	180	242	128	166	96	83	141	132	255
ENSG00000000460	C1orf112	89	158	89	162	68	80	80	60	105	52	72	49	54	86	56	88
ENSG00000000938	FGR	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
ENSG00000000971	CFH	7	8	11	13	7	33	3	4	16	1	24	7	3	11	0	12
ENSG00000001036	FUCA2	275	492	406	491	317	335	254	274	452	348	327	547	451	403	346	513
ENSG00000001084	GCLC	383	591	580	580	349	442	340	375	529	500	444	407	366	582	504	524
ENSG00000001167	NFYA	605	666	603	693	525	607	609	531	850	852	588	905	855	598	913	809
ENSG00000001460	STPG1	138	152	100	152	147	186	122	174	113	119	188	78	69	105	108	129
ENSG00000001461	NIPAL3	387	478	423	523	443	490	404	446	482	869	497	259	274	450	823	469
ENSG00000001497	LAS1L	479	751	430	758	374	427	539	356	500	828	426	653	715	464	810	472
ENSG00000001561	ENPP4	95	194	157	220	103	170	90	118	177	115	165	82	87	155	131	159
ENSG00000001617	SEMA3F	356	268	533	289	263	245	350	296	400	437	221	259	207	510	420	418
ENSG00000001626	CFTR	14	22	5	14	16	17	11	25	12	10	12	25	16	1	6	7
ENSG00000001629	ANKIB1	1196	1385	1213	1383	1190	1223	1148	1128	1515	1082	1312	718	625	1249	1043	1543
ENSG00000001630	CYP51A1	141	163	136	144	133	130	139	134	182	243	168	251	226	142	210	183
ENSG00000001631	KRIT1	77	107	68	101	74	69	90	65	110	79	82	56	44	71	76	107
ENSG00000002016	RAD52	112	274	107	253	119	97	116	118	129	412	88	365	342	131	453	140
ENSG00000002079	MYH16	2	5	3	4	3	2	3	4	3	5	2	3	5	2	6	0
ENSG00000002330	BAD	252	229	256	258	223	258	204	228	353	187	270	221	197	268	174	365
ENSG00000002549	LAP3	318	397	347	369	273	341	322	283	430	177	364	170	132	356	161	376
ENSG00000002586	CD99	3156	3689	3619	3766	3258	3967	3118	3249	3992	3723	4061	3119	3131	3566	3772	3968
ENSG00000002587	HS3ST1	192	124	220	118	75	152	196	78	124	32	147	27	24	210	44	103
ENSG00000002726	AOC1	0	1	1	0	0	0	0	0	0	2	0	1	1	0	0	0
ENSG00000002745	WNT16	3	0	20	1	1	7	2	1	1	5	6	10	13	10	4	4
ENSG00000002746	HECW1	356	237	195	267	305	258	347	332	385	353	278	235	206	174	327	402
ENSG00000002822	MAD1L1	348	417	249	384	302	293	364	309	436	335	314	293	256	281	309	445
ENSG00000002834	LASP1	2295	2770	2921	2812	2065	2071	2295	2027	2663	2582	2023	2294	2368	2958	2784	2581
ENSG00000002919	SNX11	459	383	435	396	380	428	487	372	629	420	459	370	396	428	380	661
ENSG00000002933	TMEM176A	25	10	58	11	14	75	19	24	42	92	66	585	505	61	71	60
ENSG00000003056	M6PR	576	713	585	688	533	603	621	485	776	594	611	554	588	574	603	835
ENSG00000003096	KLHL13	1517	687	1431	701	948	2617	1496	981	1693	3811	2706	1212	1194	1346	3938	1667
ENSG00000003137	CYP26B1	1568	1081	1799	1081	1362	3497	1560	1416	2287	7136	3537	3563	3547	1879	7323	2180
ENSG00000003147	ICA1	44	31	31	29	58	116	43	53	95	75	148	56	55	40	76	92
ENSG00000003249	DBNDD1	395	415	261	412	446	577	387	410	627	628	595	556	582	261	673	713
ENSG00000003393	ALS2	754	1022	725	1067	733	843	803	734	995	721	895	544	547	709	697	967
ENSG00000003400	CASP10	0	0	5	3	1	1	0	0	1	1	1	1	2	4	0	1
ENSG00000003402	CFLAR	59	124	100	113	60	173	63	56	95	46	181	135	139	105	30	106
ENSG00000003436	TFPI	237	390	374	350	266	293	222	232	384	97	326	96	86	366	93	365
ENSG00000003509	NDUFAF7	108	174	111	166	102	93	100	79	146	166	111	159	149	103	152	140
ENSG00000003756	RBM5	1376	1893	1045	1892	1072	1063	1354	975	1247	2277	1091	1538	1581	1078	2424	1319
ENSG00000003987	MTMR7	206	151	103	120	187	275	195	195	362	323	288	352	364	83	312	301
ENSG00000003989	SLC7A2	48	92	152	73	44	74	53	55	76	51	76	32	31	168	67	73
ENSG00000004059	ARF5	992	935	1056	876	825	1122	1009	951	1282	1035	1149	935	962	1024	967	1256
ENSG00000004139	SARM1	415	400	379	424	352	452	395	333	466	553	434	291	303	319	527	479
ENSG00000004142	POLDIP2	1172	1212	1187	1234	1159	1289	1215	1196	1795	1012	1343	893	886	1201	967	1765
ENSG00000004399	PLXND1	109	257	535	281	175	368	90	164	196	463	341	515	513	498	515	218
ENSG00000004455	AK2	646	1119	993	1050	537	620	708	556	832	485	588	479	524	955	462	814
ENSG00000004468	CD38	1	17	7	22	2	3	2	6	7	8	1	2	3	13	12	4
ENSG00000004478	FKBP4	1317	1203	953	1207	1250	1271	1416	1236	2007	1739	1244	2932	3049	1012	1750	1984
ENSG00000004487	KDM1A	3654	3732	2649	3656	3041	3303	3585	2970	4989	3913	3254	3808	3755	2600	4003	4905
ENSG00000004534	RBM6	1129	1844	1022	1781	930	1131	1163	928	1492	2425	1110	2062	2135	963	2527	1427
ENSG00000004660	CAMKK1	149	152	155	148	131	219	163	162	219	302	215	214	183	179	311	245
ENSG00000004700	RECQL	217	333	284	311	203	214	213	229	339	182	215	138	128	313	140	372
ENSG00000004766	VPS50	320	379	254	367	333	419	328	383	465	259	374	158	180	252	254	450
ENSG00000004776	HSPB6	4	18	92	16	12	24	3	17	23	4	29	2	7	88	10	24
ENSG00000004777	ARHGAP33	1144	1178	705	1314	863	1062	1133	864	1200	2288	1044	2105	2174	693	2265	1226
